Recipe_id,Recipe_title,Region,Continent,Calories,Protein (g),Processes
1,Spicy Grilled Chicken Tacos,Mexican,North America,450,35,"Grill the chicken with chili powder and cumin. Serve on warm tortillas with salsa."
2,Vegetable Stir-Fry with Tofu,Chinese,Asia,300,15,"Stir-fry tofu and mixed vegetables in a wok with soy sauce and ginger."
3,Classic Beef Burger,American,North America,600,30,"Grill the beef patty and serve on a bun with lettuce, tomato, and cheese."
4,Creamy Mushroom Risotto,Italian,Europe,500,10,"Cook arborio rice slowly with mushroom broth and finish with parmesan cheese."
5,Chicken Tikka Masala,Indian,Asia,550,25,"Marinate chicken in yogurt and spices, then bake. Simmer in a creamy tomato sauce."
6,Greek Salad with Feta,Mediterranean,Europe,250,8,"Toss cucumber, tomato, olives, and feta cheese with olive oil and oregano."
7,Avocado Toast with Poached Egg,American,North America,350,12,"Toast bread, spread mashed avocado, and top with a poached egg."
8,Spaghetti Carbonara,Italian,Europe,600,20,"Toss spaghetti with eggs, cheese, pancetta, and black pepper."
9,Salmon with Roasted Vegetables,Mediterranean,Europe,400,30,"Roast salmon fillet with asparagus and cherry tomatoes."
10,Beef Burrito Bowl,Mexican,North America,550,28,"Serve seasoned beef over rice with beans, corn, and guacamole."
11,Lentil Soup,Middle Eastern,Asia,200,12,"Simmer lentils with carrots, celery, and onions until tender."
12,Pad Thai,Thai,Asia,450,15,"Stir-fry rice noodles with egg, peanuts, and bean sprouts in a tangy sauce."
13,Fish and Chips,British,Europe,700,25,"Deep-fry battered fish and serve with french fries."
14,Quinoa Salad,South American,South America,300,10,"Mix cooked quinoa with black beans, corn, and lime vinaigrette."
15,Chicken Parmesan,Italian,Europe,600,40,"Bread chicken cutlet, fry, and bake with marinara sauce and mozzarella."
16,Shrimp Scampi,Italian,Europe,450,20,"Sauté shrimp in garlic, butter, and white wine sauce over linguine."
17,Lamb Rogan Josh,Indian,Asia,500,30,"Slow-cook lamb in a rich gravy of yogurt and aromatic spices."
18,Falafel Wrap,Middle Eastern,Asia,400,12,"Wrap fried falafel balls in pita bread with tahini and vegetables."
19,Peking Duck,Chinese,Asia,600,25,"Roast duck until skin is crispy and serve with pancakes and hoisin sauce."
20,Caprese Salad,Italian,Europe,200,10,"Layer sliced mozzarella, tomatoes, and basil with balsamic glaze."
