_id,Recipe_id,Calories,cook_time,prep_time,servings,Recipe_title,total_time,Region,Sub_region,Continent,Source,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),Utensils,Processes,vegan,pescetarian,ovo_vegetarian,lacto_vegetarian,ovo_lacto_vegetarian
6405721fa13d0d2d35890d6c,2613,409.0,15,15,3,Magpie's Easy Falafel Cakes,60,Middle Eastern,Egyptian,African,AllRecipes,225.1172,1686.8298,67.8589,62.4829,skillet||processor||bowl||cup||dish||tablespoon||skillet,cook||smooth||transfer||stir||cover||chill||place||roll||heat||heat||cook,0.0,0.0,0.0,1.0,0.0
6405721fa13d0d2d35890d6d,2614,45.0,5,20,24,Dukkah,25,Middle Eastern,Egyptian,African,AllRecipes,83.0609,1006.238,26.18,73.1713,oven||sheet||skillet||bowl||skillet||pan||processor||bowl||processor||bowl,preheat||place||pour||fold||cover||remove||cool||heat||stirring||pop||transfer||process||pour||place||process||stir||season||mix,1.0,1.0,0.0,0.0,0.0
6405721fa13d0d2d35890d74,2621,242.0,15,10,4,Fava Beans in Tahini Sauce,25,Middle Eastern,Egyptian,African,AllRecipes,167.6228,1409.6749,75.1704,55.538,saucepan,heat||heat||cook||stir||stir||add||cook||season,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890d78,2625,183.0,26,30,40,Balah el Sham (Egyptian Choux Pastry),66,Middle Eastern,Egyptian,African,AllRecipes,402.8471,10481.3524,25.1462,1000.0285,saucepan||pot||bowl||bowl||saucepan||spatula||saucepan,combine||heat||boil||stir||reduce||heat||add||simmer||remove||heat||stir||cool||stir||heat||boil||reduce||heat||add||stir||cook||transfer||cool||flatten||add||stir||mix||heat||squeeze||cook||transfer||drain||soak||transfer||cool,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890d7e,2631,234.0,8,20,10,Ta'ameya (Egyptian Falafel),508,Middle Eastern,Egyptian,African,AllRecipes,288.0574,2650.691,133.2597,128.5493,bowl||processor||skillet||plate||saucepan,place||cover||soak||drain||combine||process||heat||heat||add||cook||stirring||transfer||shape||coat||heat||heat||fry||drain,1.0,1.0,0.0,0.0,0.0
6405721fa13d0d2d35890d80,2633,356.0,15,15,8,Fried Katayef (Egyptian Dessert),90,Middle Eastern,Egyptian,African,AllRecipes,203.9699,6183.7783,3.1795,611.8695,saucepan||bowl||skillet||skillet||saucepan,stirring||set||cool||set||stir||remove||heat||heat||ladle||fill||fold||heat||heat||fry||coat,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890d81,2634,330.0,21,10,3,The Perfect Egyptian Rice with Vermicelli,36,Middle Eastern,Egyptian,African,AllRecipes,31.8679,329.5205,4.4733,20.805,saucepan||saucepan||fork,heat||heat||add||cook||stirring||remove||heat||pour||stir||reduce||heat||cook||stirring||boil||stir||cover||cook||heat,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890d89,2642,600.0,40,20,4,African Curry,60,Rest Africa,Nigerian,African,AllRecipes,53.2087,1096.0535,14.2093,100.5834,skillet||skillet||skillet,heat||heat||stir||mix||mix||cook||reduce||stirring||mix,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890d8a,2643,615.0,35,10,6,African Chicken Stew,45,Rest Africa,Nigerian,African,AllRecipes,209.4808,2310.3275,141.8314,102.749,skillet||pan||pan||skillet,heat||heat||add||remove||reduce||heat||add||season||mix||place||simmer||stirring||remove||stir||replace||simmer||remove||heat||seasoning||serve,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890d93,2652,318.0,130,15,6,Liberian Style Collard Greens,145,Rest Africa,Nigerian,African,AllRecipes,18.882,1878.1712,44.0954,187.256,skillet||pot||pot,place||cook||heat||drain||crumble||heat||heat||simmer||stir||cover||simmer||separate||add||dry||stir||cook||stirring,0.0,0.0,0.0,0.0,0.0
